"Country Name","Country Code","Series Name","Series Code","change_y1991","change_y1992","change_y1993","change_y1994","change_y1995","change_y1996","change_y1997","change_y1998","change_y1999","change_y2000","change_y2001","change_y2002","change_y2003","change_y2004","change_y2005","change_y2006","change_y2007","change_y2008","change_y2009","change_y2010","change_y2011","change_y2012","change_y2013","change_y2014","change_y2015","change_y2016","change_y2017","change_y2018","change_y2019","change_y2020","change_y2021","change_y2022","change_y2023"
"Antigua and Barbuda","ATG","exports","NE.EXP.GNFS.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","imports","NE.IMP.GNFS.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","consumption","NE.CON.TOTL.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","government","NE.CON.GOVT.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","carbon_intensity","EN.GHG.CO2.RT.GDP.KD",-0.0033755954809321087,-9.37684075584061e-4,-0.014321972171953579,0.003768388673952544,0.01720623176940589,-0.013887945324481565,5.987671867949129e-4,-0.0041747608175226325,-0.004198883511985663,-0.06459337694104118,0.0026799477538180655,0.013914557773575364,0.0036822111641837407,-0.005270682993600034,-0.0033694942466516165,0.001251320681991186,1.535802341343928e-4,0.009684747247099695,0.04224782681681727,0.02409938588087729,-0.045087910710012585,0.004833616175268535,0.024922818457580348,0.010206711049764089,0.00505008720849065,0.008002859967887715,-0.02963812763084392,-8.293652194109047e-4,0.021440344790663785,-1.0934836230030998e-4,0.004513731924791292,-0.017069200324443562,0.0028213774375424605
"Antigua and Barbuda","ATG","investment","NE.GDI.FTOT.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","gdp","NY.GDP.MKTP.KD",18072397.4323982,9827757.292795062,45310787.25059891,60312010.52899861,-42012931.1947577,60878715.28360546,53760172.333801866,49032757.83246839,40243349.8965013,69828994.2466867,-54370751.00489426,11721648.021094084,70055676.14852929,70520008.43133616,83733369.61294413,175005740.54201293,144586491.7785995,-237650.38096427917,-202949769.18369174,-117099483.10031319,-26960521.68045807,45515532.19419861,-8379918.048767328,30664211.463791847,20481806.67940402,58944606.79852772,36868714.48680997,106631897.85876846,50853525.36662483,-319277802.58579826,112372068.59897995,141237449.48685837,62772606.01190448
"Barbados","BRB","exports","NE.EXP.GNFS.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","BRB","imports","NE.IMP.GNFS.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","BRB","consumption","NE.CON.TOTL.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
