Country Name,Country Code,year,exports,imports,government,carbon_intensity,investment,gdp,consumption
Antigua and Barbuda,ATG,1991,NA,NA,NA,-0.0033755954809321087,NA,18072397.4323982,NA
Antigua and Barbuda,ATG,1992,NA,NA,NA,-9.37684075584061e-4,NA,9827757.292795062,NA
Antigua and Barbuda,ATG,1993,NA,NA,NA,-0.014321972171953579,NA,45310787.25059891,NA
Antigua and Barbuda,ATG,1994,NA,NA,NA,0.003768388673952544,NA,60312010.52899861,NA
Antigua and Barbuda,ATG,1995,NA,NA,NA,0.01720623176940589,NA,-42012931.1947577,NA
Antigua and Barbuda,ATG,1996,NA,NA,NA,-0.013887945324481565,NA,60878715.28360546,NA
Antigua and Barbuda,ATG,1997,NA,NA,NA,5.987671867949129e-4,NA,53760172.333801866,NA
Antigua and Barbuda,ATG,1998,NA,NA,NA,-0.0041747608175226325,NA,49032757.83246839,NA
Antigua and Barbuda,ATG,1999,NA,NA,NA,-0.004198883511985663,NA,40243349.8965013,NA
Antigua and Barbuda,ATG,2000,NA,NA,NA,-0.06459337694104118,NA,69828994.2466867,NA
Antigua and Barbuda,ATG,2001,NA,NA,NA,0.0026799477538180655,NA,-54370751.00489426,NA
Antigua and Barbuda,ATG,2002,NA,NA,NA,0.013914557773575364,NA,11721648.021094084,NA
Antigua and Barbuda,ATG,2003,NA,NA,NA,0.0036822111641837407,NA,70055676.14852929,NA
Antigua and Barbuda,ATG,2004,NA,NA,NA,-0.005270682993600034,NA,70520008.43133616,NA
Antigua and Barbuda,ATG,2005,NA,NA,NA,-0.0033694942466516165,NA,83733369.61294413,NA
Antigua and Barbuda,ATG,2006,NA,NA,NA,0.001251320681991186,NA,175005740.54201293,NA
Antigua and Barbuda,ATG,2007,NA,NA,NA,1.535802341343928e-4,NA,144586491.7785995,NA
Antigua and Barbuda,ATG,2008,NA,NA,NA,0.009684747247099695,NA,-237650.38096427917,NA
Antigua and Barbuda,ATG,2009,NA,NA,NA,0.04224782681681727,NA,-202949769.18369174,NA
Antigua and Barbuda,ATG,2010,NA,NA,NA,0.02409938588087729,NA,-117099483.10031319,NA
Antigua and Barbuda,ATG,2011,NA,NA,NA,-0.045087910710012585,NA,-26960521.68045807,NA
Antigua and Barbuda,ATG,2012,NA,NA,NA,0.004833616175268535,NA,45515532.19419861,NA
Antigua and Barbuda,ATG,2013,NA,NA,NA,0.024922818457580348,NA,-8379918.048767328,NA
Antigua and Barbuda,ATG,2014,NA,NA,NA,0.010206711049764089,NA,30664211.463791847,NA
Antigua and Barbuda,ATG,2015,NA,NA,NA,0.00505008720849065,NA,20481806.67940402,NA
Antigua and Barbuda,ATG,2016,NA,NA,NA,0.008002859967887715,NA,58944606.79852772,NA
Antigua and Barbuda,ATG,2017,NA,NA,NA,-0.02963812763084392,NA,36868714.48680997,NA
Antigua and Barbuda,ATG,2018,NA,NA,NA,-8.293652194109047e-4,NA,106631897.85876846,NA
Antigua and Barbuda,ATG,2019,NA,NA,NA,0.021440344790663785,NA,50853525.36662483,NA
Antigua and Barbuda,ATG,2020,NA,NA,NA,-1.0934836230030998e-4,NA,-319277802.58579826,NA
Antigua and Barbuda,ATG,2021,NA,NA,NA,0.004513731924791292,NA,112372068.59897995,NA
Antigua and Barbuda,ATG,2022,NA,NA,NA,-0.017069200324443562,NA,141237449.48685837,NA
Antigua and Barbuda,ATG,2023,NA,NA,NA,0.0028213774375424605,NA,62772606.01190448,NA
"Bahamas, The",BHS,1991,-169694484.36952877,-85758899.99443293,47024297.87574518,-0.007241047665179148,-48226012.487160206,-357876985.99590397,-230500796.11333752
"Bahamas, The",BHS,1992,-31381142.82955742,-157272345.99524212,-46933227.517276764,-0.012357416740247748,1202710.4416618347,-313702293.06827545,-254477561.2885704
"Bahamas, The",BHS,1993,108194158.2292738,-16421462.560552597,-21976804.07447934,0.002653968391643724,-230785870.84259498,24274910.190651894,-14939110.84472847
"Bahamas, The",BHS,1994,-22688197.718203068,143721761.77882314,115246964.48223352,0.008211536204235662,170743925.02864802,249101025.46151066,105828893.60656166
"Bahamas, The",BHS,1995,69760106.96125174,64556042.395870924,-57704635.98307145,0.012747466742880312,113673772.63533568,357297077.5225277,360593053.5184374
"Bahamas, The",BHS,1996,100176298.66117382,223119515.00384665,58506904.57422304,0.00928252115264902,161376082.78568578,359721861.76971626,340784481.7328501
"Bahamas, The",BHS,1997,-640623225.7659631,867011601.2260256,611457812.1331322,-6.260246103053924e-4,510504709.8756058,114311423.08829498,527635242.5921211
"Bahamas, The",BHS,1998,-27563068.035530567,438308564.8629532,-20041266.73146248,0.013573715353035781,502054512.57058454,424093150.43759537,717175472.0890312
"Bahamas, The",BHS,1999,146960779.80175066,110425049.56202316,-442844.02335715294,-0.024705477676196824,-254920645.8560562,672632810.746479,558775177.1379442
"Bahamas, The",BHS,2000,113518500.57929945,209733612.36312485,55211321.14458895,-0.03358539060525238,339592231.91727304,418486265.8409748,171357850.30588913
"Bahamas, The",BHS,2001,127967905.18795061,-152354477.586792,45005311.2109406,-0.0028728805637679433,-246912213.34787607,275897390.3234329,55438163.479084015
"Bahamas, The",BHS,2002,13513410.787847519,-107590681.7189188,-21441889.689056873,0.006092425674995336,94636350.45767689,291654669.4484215,278529247.51440716
"Bahamas, The",BHS,2003,17588883.882595062,12845931.546544075,-167374443.43254232,-0.02409582483205816,129937058.37279606,-140075444.49147034,-58687251.08676338
"Bahamas, The",BHS,2004,306762224.83264685,134080011.01870966,-46416232.86675286,0.005200291256721362,-204190936.2013502,96477083.23152924,-123290751.25019646
"Bahamas, The",BHS,2005,-62692086.122553825,559917357.3720045,44160817.957096815,-0.0037850610049977446,503268787.5357237,374597893.308794,629246432.5331564
"Bahamas, The",BHS,2006,55730632.080329895,547109857.9318085,25437784.597488403,0.018239530793205172,552138536.3311286,287014489.09259796,247056742.18032265
"Bahamas, The",BHS,2007,-41661474.961380005,-185271576.67314816,-2481986.270443201,0.01706985809939876,-108696883.58575773,169076571.7153759,105600196.634058
"Bahamas, The",BHS,2008,-63403831.42378998,-285617806.34562397,106303163.00213528,0.006777208501114684,-243095920.60029554,-275607379.05119324,-312950178.61784744
"Bahamas, The",BHS,2009,-89484909.24304819,-556448859.7741714,61503825.75554657,-0.015507621366002755,-402705618.7958193,-483738802.0947647,-844239044.4717264
"Bahamas, The",BHS,2010,34768270.468589306,-15670691.363060951,-4819790.765839815,0.011814445540008114,-195633188.82798815,170816639.3488102,78201174.27079391
"Bahamas, The",BHS,2011,173539104.3383112,297541367.33983517,118713094.35435104,-0.038501412402339785,313918989.7971864,69119353.21697807,-167206777.1832428
"Bahamas, The",BHS,2012,1449717929.3254375,57734631.760044575,-400197114.03797436,0.011744554020844025,792208406.6214743,340009215.5730839,-315190594.25180054
"Bahamas, The",BHS,2013,38044248.84140015,-64710059.062057495,-78373093.43598604,0.009096334635529696,-357796719.2914634,-334479667.3157253,-133746024.20863819
"Bahamas, The",BHS,2014,-240920909.50051403,331063772.1011591,-61565617.944852114,0.002167259502623614,377504594.7177315,209610480.53199005,376254043.7382088
"Bahamas, The",BHS,2015,58402114.4438715,-273521300.8728504,127899533.16445637,-0.0023411073889915424,-644673998.3570571,115192477.33335876,112369937.38080406
"Bahamas, The",BHS,2016,-299069525.61791945,304949155.838254,-60340072.85695696,0.011754298168719687,149972595.2975936,-112273030.52615166,113727765.03774357
"Bahamas, The",BHS,2017,-8921191.104531288,361992009.6840496,213811273.69573045,0.00786297234222244,286058125.3192692,323613911.6491661,490476445.99383926
"Bahamas, The",BHS,2018,475124113.3496394,-107994218.83556461,-15077294.190576077,0.01089525091208765,-190496612.98339128,312516146.96481895,39095737.750906944
"Bahamas, The",BHS,2019,74879505.66426373,-185012159.9553051,196993499.5063789,0.02080070034340467,87745821.88565636,-165528767.15165138,-853239502.0834446
"Bahamas, The",BHS,2020,-2020098913.8130794,-1282998222.240944,153677174.80312562,0.004771251859990444,-937044426.074471,-2577291508.2189617,-1331912546.2308798
"Bahamas, The",BHS,2021,549087125.0643668,694871698.8101125,-69989953.08685446,-0.006298005939291751,243250114.24666214,1456049927.4882793,1343124323.1696177
"Bahamas, The",BHS,2022,1298564677.2013388,-90584474.66029358,225541490.96558428,-0.01363195141015261,-136875772.45930576,1176208383.8623943,174907599.75189018
"Bahamas, The",BHS,2023,194589215.37075233,431717458.624413,89485388.81278348,0.0036084395794307444,102326758.57022524,318935063.12371063,599432416.694335
Barbados,BRB,1991,NA,NA,NA,-0.001037321580532824,NA,-175741179.79656887,NA
Barbados,BRB,1992,NA,NA,NA,0.004143156808721321,NA,-246517491.11395884,NA
Barbados,BRB,1993,NA,NA,NA,-0.007804166848862287,NA,32389159.416432858,NA
Barbados,BRB,1994,NA,NA,NA,-0.006005568093812114,NA,82772296.2864418,NA
Barbados,BRB,1995,NA,NA,NA,4.5567205738367145e-4,NA,84571694.03179312,NA
