Country Name,Country Code,year,consumption,government,investment,gdp,net_exports
Antigua and Barbuda,ATG,1991,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1992,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1993,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1994,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1995,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1996,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1997,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1998,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1999,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2000,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2001,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2002,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2003,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2004,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2005,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2006,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2007,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2008,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2009,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2010,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2011,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2012,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2013,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2014,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2015,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2016,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2017,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2018,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2019,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2020,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2021,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2022,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2023,NA,NA,NA,1,NA
Barbados,BRB,1991,NA,NA,NA,1,NA
